Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Image,Service,Active
A Importância da Ortodontia,a-importancia-da-ortodontia,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660948a406f6bdfff267da9b,false,false,Sun Mar 31 2024 11:27:32 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:34:57 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A ortodontia é uma especialidade essencial na medicina dentária que se foca na correção de dentes e maxilares posicionados inadequadamente. Na Clínica Ferreira Borges, compreendemos a importância de um sorriso não apenas para a estética, mas também para a saúde geral. Dentes mal alinhados podem causar problemas que vão desde dificuldades de mastigação como dificuldades de higienização e falta de autoconfiança. Por isso, oferecemos soluções personalizadas de ortodontia, utilizando técnicas avançadas e aparelhos de última geração, para garantir que cada paciente alcance o sorriso perfeito com o máximo conforto e eficácia. A nossa equipa está dedicada a transformar sorrisos, melhorando a sua qualidade de vida através de um atendimento excecional e personalizado.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616c5ed458b992bd257e772_intro_orthodontics.jpg,ortodontia,true
A Importância de um Tratamento Personalizado,a-importancia-de-um-tratamento-personalizado,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660a86dccbee8be3fb3a253f,false,false,Mon Apr 01 2024 10:05:16 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:24:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Cada indivíduo é único, e o tratamento da apneia do sono exige uma abordagem personalizada. Na Clínica Ferreira Borges, dedicamo-nos a entender profundamente as necessidades específicas de cada paciente, desenvolvendo planos de tratamento que refletem essa individualidade. A utilização de tecnologia de ponta e técnicas avançadas permite-nos oferecer soluções que não apenas tratam os sintomas da apneia do sono, mas também melhoram significativamente a qualidade de vida dos nossos pacientes. Embarque nesta jornada conosco e descubra um caminho para noites mais tranquilas e dias mais produtivos.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616e2349771e168554956b6_intro_snoring2.jpg,medicina-dentaria-do-sono,true
A Tecnologia por Detrás do Sorriso Perfeito,a-tecnologia-por-detras-do-sorriso-perfeito,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660347bf8c197faaae0c9934,false,false,Tue Mar 26 2024 22:10:07 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:37:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"O aparelho invisível utiliza a mais avançada tecnologia para moldar o seu sorriso com precisão. Fabricado à medida do seu sorriso, este aparelho ortodôntico quase imperceptível alinha os seus dentes gradualmente, garantindo conforto e eficácia. Esqueça as visitas constantes ao ortodontista e os ajustes dolorosos. Com o aparelho invisível, o seu tratamento é planeado do início ao fim, permitindo-lhe visualizar cada etapa da sua transformação.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616c0d38452a6c32d6a0952_intro_clear_aligners6.jpg,aparelho-invisivel,true
Descubra a Revolução na Higiene Oral com o Guided Biofilm Therapy (GBT),descubra-a-revolucao-na-higiene-oral-com-o-guided-biofilm-therapy-gbt,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660a7fb579f7acde05e96e7f,false,false,Mon Apr 01 2024 09:34:45 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 09:28:52 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Na Clínica Ferreira Borges, estamos na vanguarda da higiene oral com a introdução da Guided Biofilm Therapy (GBT) da EMS. Esta abordagem inovadora proporciona uma limpeza dentária mais eficaz e confortável. Utilizando tecnologia avançada, a terapia remove completamente a placa bacteriana, prevenindo doenças gengivais e cáries. A precisão da técnica garante um tratamento seguro, minimizando o desconforto e maximizando os resultados. Experimente uma nova era na saúde oral, onde a prevenção e o cuidado são personalizados para o seu sorriso.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/666f441f6fccf7d29aaa7974_intro_oral_higiene3.jpg,limpeza-dentaria,true
Destartarização: Uma Solução Efetiva contra o Tártaro,destartarizacao-uma-solucao-efetiva-contra-o-tartaro,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660a81a9b397cf1a23acbf21,false,false,Mon Apr 01 2024 09:43:05 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 09:28:16 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"O tártaro, uma calcificação da placa bacteriana que se forma na linha da gengiva, pode levar a problemas sérios se não for removido periodicamente. A destartarização é o processo de remoção deste tártaro, crucial para prevenir a inflamação e o sangramento das gengivas, além de doenças mais graves como a periodontite. Na Clínica Ferreira Borges, utilizamos o Guided Biofilm Therapy (GBT) da EMS, uma técnica avançada que garante uma remoção eficaz e precisa do tártaro. Este método inovador assegura um tratamento indolor e eficiente, protegendo a saúde das suas gengivas e restaurando a estética do seu sorriso. Confie na nossa equipa e nos equipamentos de última geração para deixar os seus dentes mais limpos e saudáveis.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660a8179d3eaadb482be3a75_intro_oral_higiene2.jpg,limpeza-dentaria,true
Entenda a Apneia do Sono,entenda-a-apneia-do-sono,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660a859cb397cf1a23b045ab,false,false,Mon Apr 01 2024 09:59:56 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:27:29 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A apneia do sono é caracterizada por interrupções na respiração durante o sono, podendo levar a uma série de complicações de saúde se não for tratada adequadamente. A Medicina Dentária do Sono apresenta-se como uma aliada poderosa nesta luta, utilizando dispositivos orais personalizados que garantem a abertura das vias aéreas, promovendo um sono reparador e contínuo. Esses dispositivos são desenhados à medida do paciente, assegurando não apenas eficácia no tratamento, mas também conforto máximo durante o uso.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616e228b6da0e91bd4e4cd4_intro_snoring1.jpg,medicina-dentaria-do-sono,true
Entendendo a Dor Orofacial,entendendo-a-dor-orofacial,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660ad8e27344610928d110aa,false,false,Mon Apr 01 2024 15:55:14 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:22:47 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A dor orofacial é uma sentinela que alerta para desequilíbrios no corpo, manifestando-se através de sintomas como dores de cabeça, no pescoço, zumbido no ouvido e dificuldades na mastigação. A nossa abordagem começa com uma escuta atenta e um diagnóstico preciso, permitindo-nos entender as raízes do problema. Ao identificar a origem da dor, desenhamos um plano de tratamento que não só alivia os sintomas mas também visa restaurar a harmonia e o bem-estar integral do paciente. A dor orofacial não precisa ser uma sentença permanente. Com a tecnologia avançada e técnicas inovadoras, a esperança renasce na Clínica Ferreira Borges.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660ad88a5d37bb3d19d06a2a_intro_ortofacial_pain.jpg,dor-orofacial,true
Experiência e Inovação em Ortodontia,experiencia-e-inovacao-em-ortodontia,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,66094b765733536e1b634a26,false,false,Sun Mar 31 2024 11:39:34 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:33:18 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Na Clínica Ferreira Borges, combinamos experiência com inovação para oferecer os melhores resultados com tratamentos ortodônticos. A nossa equipa dedicada está em constante aperfeiçoamento, buscando as últimas tendências e técnicas para que possa desfrutar de um processo de tratamento tão confortável quanto eficaz. Cada sorriso tem uma história, e estamos aqui para tornar a sua ainda mais bonita, garantindo um atendimento personalizado que atenda às suas necessidades únicas.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616c6f1532bbd4509a1fbfa_intro_orthodontics3.jpg,ortodontia,true
Expertise e Tecnologia de Ponta ao Seu Serviço,expertise-e-tecnologia-de-ponta-ao-seu-servico,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660f027800e63d1809657bd5,false,false,Thu Apr 04 2024 19:41:44 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:00:35 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A excelência em cirurgia oral na Clínica Ferreira Borges é impulsionada pela nossa paixão em utilizar a tecnologia mais avançada no campo. Desde procedimentos minimamente invasivos até as mais complexas reconstruções, a nossa equipa está equipada com o conhecimento e as ferramentas necessárias para transformar desafios em sorrisos saudáveis e radiantes. Com uma dedicação incansável à sua saúde e bem-estar, esforçamo-nos para garantir que sua experiência seja confortável, segura e, acima de tudo, transformadora.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660f25ce0121f1168f342cc7_intro_oral_surgery2.jpg,cirurgia-oral,true
O Papel Crucial da Prevenção na Dentisteria,o-papel-crucial-da-prevencao-na-dentisteria,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660f15173efdf224e619a17a,false,false,Thu Apr 04 2024 21:01:11 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 11:48:13 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Embora a dentisteria ofereça soluções excepcionais para restaurar dentes danificados, a prevenção é sempre a melhor abordagem. Na Clínica Ferreira Borges, enfatizamos a importância dos cuidados preventivos, incluindo higiene oral adequada, visitas regulares ao dentista e proteção dos dentes contra traumas e desgastes. Educar nossos pacientes sobre como manter uma boa saúde oral é fundamental para evitar o desenvolvimento de problemas que necessitem de intervenção dentária. Através de uma parceria entre o paciente e o médico dentista, trabalhamos para garantir que seu sorriso permaneça saudável e brilhante por toda a vida.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660f151573ab4273e0f1598a_intro_dentistry1.jpg,dentisteria,true
O Que é Endodontia?,o-que-e-endodontia,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660dce9e9896bea55ed2a2a5,false,false,Wed Apr 03 2024 21:48:14 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:13:56 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"A endodontia é a especialidade da medicine dentária que trata das doenças da polpa dentária do dente, localizada no seu interior. Quando a polpa dentária – que contém nervos e vasos sanguíneos – é afetada por cáries profundas, traumas ou lesões, a desvitalização torna-se essencial. Na Clínica Ferreira Borges, o nosso objetivo é remover a dor e a infecção, preservando a estrutura natural do seu dente. Utilizamos técnicas minimamente invasivas e equipamentos de última geração para garantir um tratamento eficiente e confortável, devolvendo ao paciente um sorriso saudável e o conforto de viver sem dor.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660f04bc00e100daf947afea_intro_endo3.jpg,endodontia,true
Personalização e Conforto no Coração do Nosso Tratamento,personalizacao-e-conforto-no-coracao-do-nosso-tratamento,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,66033f03c9be888fae5924ef,false,false,Tue Mar 26 2024 21:32:51 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:37:58 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Cada sorriso é único, e por isso, cada implante dentário que realizamos é meticulosamente planeado para atender às necessidades específicas de cada paciente. Desde a consulta inicial até ao procedimento final, o nosso foco está em garantir o seu conforto e satisfação. Utilizamos técnicas minimamente invasivas para reduzir o tempo de recuperação, permitindo-lhe voltar à sua vida normal com um sorriso renovado mais rapidamente. Na Clínica Ferreira Borges, nós acreditamos que todos merecem sorrir com confiança, e estamos aqui para tornar isso possível através dos nossos implantes dentários de alta qualidade.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/6616d8e6a7dc2330c3843072_intro_implants2.jpg,implantes-dentarios,true
Por Que Escolher a Clínica Ferreira Borges para a sua Desvitalização?,por-que-escolher-a-clinica-ferreira-borges-para-a-sua-desvitalizacao,6601f0ae27ec5387c01512a7,65fb2d02af63dc1a4c22777b,660dceba7d551b2a5fda7191,false,false,Wed Apr 03 2024 21:48:42 GMT+0000 (Coordinated Universal Time),Sun Apr 21 2024 12:12:31 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:23:29 GMT+0000 (Coordinated Universal Time),"Escolher onde realizar seu tratamento de endodontia é uma decisão importante. Na Clínica Ferreira Borges, destacamo-nos por nossa abordagem centrada no paciente, que prioriza não apenas a saúde dentária, mas também o conforto e a experiência geral do paciente. A nossa equipa de endodontia está equipada com formação avançada e a experiência necessária para tratar casos complexos, utilizando métodos que reduzem o desconforto e aceleram a recuperação. Acreditamos no poder da educação e da comunicação transparente, assegurando que o paciente testeja informado e confortável em cada etapa do processo. Deixe-nos cuidar de si e transformar sua experiência na consulta em algo positivo e livre de dor.",https://uploads-ssl.webflow.com/65edab180ad493fbc6b6ee2a/660f04cdcfe45628ca7afc43_intro_endo4.jpg,endodontia,true
